levels	use_as	name	signature
level1	positive	Immune	
level1	positive	Myeloid	
level1	positive	Macrophage	
level1	positive	Neutrophils	
level1	positive	MoMacDC	
level1	negative	Epithelial	
level1	negative	Stromal	
level2	positive	Myeloid	
level2	positive	Neutrophils	
level2	negative	Tcell	
level2	negative	Bcell	
level2	negative	Plasma_cell	
level2	negative	PanBcell	
level2	negative	Lymphoid	
level3	positive	Neutrophils	
level3	negative	Macrophage	
level3	negative	pDC	
level3	negative	cDC1	
level3	negative	cDC2	
level3	negative	DC3	
