levels	use_as	name	signature
level1	positive	Immune	
level1	positive	Lymphoid	
level1	positive	Tcell	
level1	negative	Epithelial	
level1	negative	Endothelial	
level1	negative	Stromal	
level2	positive	Lymphoid	
level2	positive	Tcell	
level2	negative	Myeloid	
level2	negative	MoMacDC	
level2	negative	Neutrophils	
level3	positive	Tcell	
level3	negative	Talphabeta	
level3	positive	Tgammadelta	
level3	positive	Tgd1	
level3	positive	Tgd2	
level3	positive	Tgd12	
level3	positive	Tgd22	
level3	negative	Bcell	
level3	negative	NK	
level3	negative	Plasma_cell	
level4	negative	Talphabeta	
level4	positive	Tgammadelta	
level4	positive	Tgd1	
level4	positive	Tgd2	
level4	positive	Tgd12	
level4	positive	Tgd22	
