levels	use_as	name	signature
level1	positive	Immune	
level1	positive	Myeloid	
level1	positive	MoMacDC	
level1	positive	APC	
level1	positive	Monocyte	
level1	positive	Macrophage	
level1	positive	Mast	
level1	negative	Epithelial	
level1	negative	Endothelial	
level1	negative	Stromal	
level2	positive	pDC	
level2	positive	cDC1	
level2	positive	cDC2	
level2	positive	DC3	
level2	positive	Monocyte	
level2	positive	Macrophage	
level2	positive	Mast	
level2	negative	Tcell	
level2	negative	Bcell	
level2	negative	PanBcell	
level2	negative	NK	
level2	negative	Neutrophils	
