levels	use_as	name	signature
level1	positive	Immune	PTPRC
level1	positive	Myeloid	SPI1
level1	positive	Macrophage	CD40;CD68;CD14;CD68;FCGR1A
level1	positive	Neutrophils	CSF3R
level1	positive	pDC	CCR9;LILRA4
level1	positive	MoMacDC	LYZ;CSF1R;MSR1;MAFB;CD300E
level1	negative	Epithelial	CDH1;FLT1
level1	negative	Stromal	MMP2;COL1A1;COL1A2;COL5A1;LUM;PDGFRA
level1	negative	Erythrocyte	HBB;HBA2;HBA1
level2	positive	Macrophage	
level2	positive	Myeloid	
level2	positive	MoMacDC	
level2	positive	Neutrophils	
level2	negative	Tcell	CD3D;CD3E;CD3G;CD2
level2	negative	Bcell	MS4A1;BANK1;PAX5;CD19
level2	negative	Plasma_cell	IGKC;IGHG3;IGHG1;IGHA1;CD19-
level2	negative	NK	KLRD1;NKG7;NCR1;FCGR3A;CD3D-;CD3E-;CD3G-;CD8A-;CD8B-
level2	negative	PanBcell	CD79A
level2	negative	Lymphoid	LCK
